sample_id,subject,task,task_difficulty,n_windows,y_nasa,nasa_reverse,nasa_bin,source_sheet,n_steps,n_key_steps,n_nonkey_steps,key_steps,nonkey_steps,key_completion,nonkey_completion,raw_step_completion,weighted_step_score,S,S_bin
subject_01_task_2,1,2,中,295,4.733333333333333,0.5266666666666666,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",0.6666666666666666,0.8,0.75,0.7,0.5959999999999999,中
subject_01_task_3,1,3,低,53,3.6666666666666665,0.6333333333333333,低,03,4,2,2,"L2,L3","L1,L4",0.5,0.5,0.5,0.5,0.58,中
subject_01_task_5_6,1,5_6,高,98,6.666666666666667,0.33333333333333326,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.6,,0.6,0.6,0.43999999999999995,低
subject_02_task_1,2,1,中,278,5.666666666666667,0.43333333333333335,中,01,6,2,4,"M1,M3","M2,M4,M5,M6",0.5,1.0,0.8333333333333334,0.625,0.51,低
subject_02_task_3,2,3,低,65,3.6666666666666665,0.6333333333333333,低,03,4,2,2,"L2,L3","L1,L4",0.5,1.0,0.75,0.625,0.6299999999999999,中
subject_02_task_5_6,2,5_6,高,131,6.6,0.3400000000000001,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.8,,0.8,0.8,0.5240000000000001,中
subject_03_task_1,3,1,中,297,5.533333333333333,0.44666666666666666,中,01,6,2,4,"M1,M3","M2,M4,M5,M6",1.0,1.0,1.0,1.0,0.6679999999999999,高
subject_03_task_4,3,4,中,135,5.666666666666667,0.43333333333333335,中,04,4,1,3,M2,"M1,M3,M4",1.0,0.6666666666666666,0.75,0.9166666666666666,0.6266666666666667,中
subject_03_task_5_6,3,5_6,高,114,6.0,0.4,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.8,,0.8,0.8,0.56,中
subject_04_task_2,4,2,中,406,5.666666666666667,0.43333333333333335,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",1.0,0.8,0.875,0.95,0.64,中
subject_04_task_4,4,4,中,235,6.266666666666667,0.3733333333333333,高,04,4,1,3,M2,"M1,M3,M4",1.0,0.6666666666666666,0.75,0.9166666666666666,0.5906666666666667,中
subject_04_task_5_6,4,5_6,高,83,6.866666666666666,0.31333333333333335,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.2,,0.2,0.2,0.268,低
subject_05_task_1,5,1,中,278,4.066666666666666,0.5933333333333334,低,01,6,2,4,"M1,M3","M2,M4,M5,M6",1.0,0.75,0.8333333333333334,0.9375,0.7310000000000001,高
subject_05_task_4,5,4,中,207,5.733333333333333,0.42666666666666664,中,04,4,1,3,M2,"M1,M3,M4",0.0,0.3333333333333333,0.25,0.08333333333333333,0.2893333333333333,低
subject_05_task_5_6,5,5_6,高,57,5.733333333333333,0.42666666666666664,中,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.6,,0.6,0.6,0.49599999999999994,低
subject_06_task_2,6,2,中,416,5.666666666666667,0.43333333333333335,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",0.6666666666666666,0.6,0.625,0.65,0.52,中
subject_06_task_3,6,3,低,101,5.0,0.5,中,03,4,2,2,"L2,L3","L1,L4",0.0,0.5,0.25,0.125,0.35,低
subject_06_task_5_6,6,5_6,高,88,6.266666666666667,0.3733333333333333,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.4,,0.4,0.4,0.384,低
subject_07_task_2,7,2,中,198,4.866666666666666,0.5133333333333334,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",1.0,0.8,0.875,0.95,0.6880000000000001,高
subject_07_task_3,7,3,低,79,4.066666666666666,0.5933333333333334,低,03,4,2,2,"L2,L3","L1,L4",0.5,0.5,0.5,0.5,0.556,中
subject_07_task_5_6,7,5_6,高,118,6.866666666666666,0.31333333333333335,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.6,,0.6,0.6,0.428,低
subject_08_task_1,8,1,中,265,5.533333333333333,0.44666666666666666,中,01,6,2,4,"M1,M3","M2,M4,M5,M6",1.0,0.75,0.8333333333333334,0.9375,0.643,高
subject_08_task_4,8,4,中,179,5.066666666666666,0.4933333333333334,中,04,4,1,3,M2,"M1,M3,M4",1.0,1.0,1.0,1.0,0.6960000000000001,高
subject_08_task_5_6,8,5_6,高,77,6.066666666666666,0.3933333333333333,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,1.0,,1.0,1.0,0.636,中
