sample_id,subject,task,task_difficulty,y_nasa_true,y_nasa_xgb,weighted_step_score,nasa_reverse_true,nasa_reverse_xgb,S_true_step04,S_xgb_step04,S_true_step05,S_xgb_step05,S_true_step06,S_xgb_step06,S_true_step07,S_xgb_step07,S_true,S_xgb,S_xgb_minus_S_true
subject_01_task_2,1,2,中,4.733333333333333,6.592197895050049,0.7,0.5266666666666666,0.3407802104949951,0.5959999999999999,0.484468126296997,0.6133333333333333,0.5203901052474975,0.6306666666666667,0.556312084197998,0.6479999999999999,0.5922340631484985,0.6479999999999999,0.5922340631484985,-0.05576593685150144
subject_01_task_3,1,3,低,3.6666666666666665,3.3086602687835693,0.5,0.6333333333333333,0.669133973121643,0.58,0.6014803838729859,0.5666666666666667,0.5845669865608215,0.5533333333333333,0.5676535892486572,0.54,0.5507401919364929,0.54,0.5507401919364929,0.010740191936492893
subject_01_task_5_6,1,5_6,高,6.666666666666667,5.882070064544678,0.6,0.3333333333333332,0.4117929935455322,0.43999999999999995,0.4870757961273193,0.46666666666666656,0.5058964967727662,0.4933333333333333,0.5247171974182129,0.52,0.5435378980636597,0.52,0.5435378980636597,0.02353789806365969
subject_02_task_1,2,1,中,5.666666666666667,6.079475402832031,0.625,0.4333333333333333,0.3920524597167969,0.51,0.48523147583007814,0.5291666666666667,0.5085262298583985,0.5483333333333333,0.5318209838867187,0.5675,0.5551157379150391,0.5675,0.5551157379150391,-0.012384262084960906
subject_02_task_3,2,3,低,3.6666666666666665,3.2029309272766113,0.625,0.6333333333333333,0.6797069072723388,0.6299999999999999,0.6578241443634033,0.6291666666666667,0.6523534536361695,0.6283333333333334,0.6468827629089355,0.6275000000000001,0.6414120721817017,0.6275000000000001,0.6414120721817017,0.013912072181701651
subject_02_task_5_6,2,5_6,高,6.6,4.859861850738525,0.8,0.3400000000000001,0.5140138149261475,0.5240000000000001,0.6284082889556886,0.5700000000000001,0.6570069074630738,0.616,0.685605525970459,0.6619999999999999,0.7142041444778442,0.6619999999999999,0.7142041444778442,0.05220414447784427
subject_03_task_1,3,1,中,5.533333333333333,4.674423694610596,1.0,0.4466666666666666,0.5325576305389405,0.6679999999999999,0.7195345783233642,0.7233333333333333,0.7662788152694702,0.7786666666666666,0.8130230522155761,0.834,0.8597672891616821,0.834,0.8597672891616821,0.02576728916168214
subject_03_task_4,3,4,中,5.666666666666667,5.227490425109863,0.9166666666666666,0.4333333333333333,0.4772509574890137,0.6266666666666667,0.653017241160075,0.6749999999999999,0.6969588120778402,0.7233333333333333,0.7409003829956055,0.7716666666666666,0.7848419539133707,0.7716666666666666,0.7848419539133707,0.013175287246704137
subject_03_task_5_6,3,5_6,高,6.0,7.173759460449219,0.8,0.4,0.2826240539550781,0.56,0.48957443237304693,0.6000000000000001,0.5413120269775391,0.64,0.5930496215820312,0.6799999999999999,0.6447872161865233,0.6799999999999999,0.6447872161865233,-0.03521278381347659
subject_04_task_2,4,2,中,5.666666666666667,5.186529636383057,0.95,0.4333333333333333,0.4813470363616943,0.6399999999999999,0.6688082218170166,0.6916666666666667,0.7156735181808471,0.7433333333333333,0.7625388145446776,0.7949999999999999,0.8094041109085082,0.7949999999999999,0.8094041109085082,0.014404110908508239
