sample_id,subject,task,task_difficulty,y_nasa,weighted_step_score,n_windows,y_nasa_true,y_nasa_hat,S_true,S_hat,S_hat_minus_S_true
subject_01_task_2,1,2,中,4.733333333333333,0.7,295,4.733333333333333,5.000938415527344,0.6479999999999999,0.6399718475341796,-0.008028152465820337
subject_01_task_3,1,3,低,3.6666666666666665,0.5,53,3.6666666666666665,4.005953788757324,0.54,0.5298213863372803,-0.010178613662719771
subject_01_task_5_6,1,5_6,高,6.666666666666667,0.6,98,6.666666666666667,5.359346628189087,0.52,0.5592196011543273,0.03921960115432732
subject_02_task_1,2,1,中,5.666666666666667,0.625,278,5.666666666666667,5.474619150161743,0.5675,0.5732614254951477,0.005761425495147687
subject_02_task_3,2,3,低,3.6666666666666665,0.625,65,3.6666666666666665,4.511222839355469,0.6275000000000001,0.6021633148193359,-0.02533668518066412
subject_02_task_5_6,2,5_6,高,6.6,0.8,131,6.6,5.644314289093018,0.6619999999999999,0.6906705713272094,0.028670571327209515
subject_03_task_1,3,1,中,5.533333333333333,1.0,297,5.533333333333333,5.163290023803711,0.834,0.8451012992858886,0.011101299285888655
subject_03_task_4,3,4,中,5.666666666666667,0.9166666666666666,135,5.666666666666667,5.343208312988281,0.7716666666666666,0.7813704172770182,0.009703750610351558
subject_03_task_5_6,3,5_6,高,6.0,0.8,114,6.0,5.54701042175293,0.6799999999999999,0.6935896873474121,0.013589687347412172
subject_04_task_2,4,2,中,5.666666666666667,0.95,406,5.666666666666667,5.815488815307617,0.7949999999999999,0.7905353355407714,-0.004464664459228551
subject_04_task_4,4,4,中,6.266666666666667,0.9166666666666666,235,6.266666666666667,5.740077972412109,0.7536666666666666,0.7694643274943034,0.015797660827636784
subject_04_task_5_6,4,5_6,高,6.866666666666666,0.2,83,6.866666666666666,6.130223274230957,0.23399999999999999,0.2560933017730713,0.02209330177307134
subject_05_task_1,5,1,中,4.066666666666666,0.9375,278,4.066666666666666,4.579214572906494,0.83425,0.8188735628128052,-0.015376437187194836
subject_05_task_4,5,4,中,5.733333333333333,0.0833333333333333,207,5.733333333333333,5.3303022384643555,0.1863333333333333,0.19842426617940268,0.01209093284606938
subject_05_task_5_6,5,5_6,高,5.733333333333333,0.6,57,5.733333333333333,5.568095684051514,0.548,0.5529571294784545,0.004957129478454503
subject_06_task_2,6,2,中,5.666666666666667,0.65,416,5.666666666666667,5.715353965759277,0.585,0.5835393810272216,-0.0014606189727783825
subject_06_task_3,6,3,低,5.0,0.125,101,5.0,5.3192524909973145,0.23750000000000002,0.22792242527008058,-0.009577574729919436
subject_06_task_5_6,6,5_6,高,6.266666666666667,0.4,88,6.266666666666667,6.009866952896118,0.39199999999999996,0.39970399141311647,0.007703991413116507
subject_07_task_2,7,2,中,4.866666666666666,0.95,198,4.866666666666666,4.90526270866394,0.819,0.8178421187400817,-0.0011578812599182253
subject_07_task_3,7,3,低,4.066666666666666,0.5,79,4.066666666666666,4.675565719604492,0.528,0.5097330284118653,-0.01826697158813473
subject_07_task_5_6,7,5_6,高,6.866666666666666,0.6,118,6.866666666666666,5.466607093811035,0.514,0.556001787185669,0.04200178718566894
subject_08_task_1,8,1,中,5.533333333333333,0.9375,265,5.533333333333333,5.162234306335449,0.79025,0.8013829708099365,0.011132970809936471
subject_08_task_4,8,4,中,5.066666666666666,1.0,179,5.066666666666666,5.387779235839844,0.848,0.8383666229248047,-0.009633377075195293
subject_08_task_5_6,8,5_6,高,6.066666666666666,1.0,77,6.066666666666666,5.764636039733887,0.818,0.8270609188079834,0.009060918807983431
subject_09_task_1,9,1,中,5.666666666666667,0.9375,211,5.666666666666667,5.374634265899658,0.78625,0.7950109720230103,0.008760972023010294
subject_09_task_4,9,4,中,5.2,0.9166666666666666,175,5.2,5.539952278137207,0.7856666666666666,0.7754680983225504,-0.010198568344116254
subject_09_task_5_6,9,5_6,高,6.0,1.0,68,6.0,5.866154432296753,0.82,0.8240153670310973,0.004015367031097394
subject_10_task_2,10,2,中,4.4,0.9,367,4.4,5.2016377449035645,0.798,0.7739508676528931,-0.024049132347106927
subject_10_task_3,10,3,低,4.4,0.875,105,4.4,4.839748859405518,0.7805,0.7673075342178344,-0.013192465782165597
subject_10_task_5_6,10,5_6,高,7.066666666666666,0.4,127,7.066666666666666,5.690075397491455,0.368,0.4092977380752563,0.04129773807525633
subject_11_task_1,11,1,中,5.666666666666667,0.9375,235,5.666666666666667,5.587679862976074,0.78625,0.7886196041107179,0.002369604110717849
subject_11_task_3,11,3,低,4.066666666666666,0.125,94,4.066666666666666,5.106982707977295,0.26550000000000007,0.2342905187606812,-0.03120948123931888
subject_11_task_5_6,11,5_6,高,7.8,0.6,145,7.8,6.011559963226318,0.486,0.5396532011032105,0.05365320110321048
subject_12_task_2,12,2,中,5.333333333333333,0.95,413,5.333333333333333,5.3366923332214355,0.8049999999999999,0.8048992300033568,-0.00010076999664310193
subject_12_task_3,12,3,低,4.266666666666667,0.5,60,4.266666666666667,4.641294002532959,0.522,0.5107611799240113,-0.011238820075988754
subject_12_task_5_6,12,5_6,高,7.666666666666667,0.6,132,7.666666666666667,6.307007551193237,0.49,0.5307897734642029,0.04078977346420287
subject_13_task_3,13,3,低,2.2666666666666666,0.875,3,2.2666666666666666,5.252325534820557,0.8445,0.7549302339553833,-0.08956976604461675
subject_13_task_5,13,5,低,2.2666666666666666,0.6666666666666666,103,2.2666666666666666,3.24682879447937,0.6986666666666667,0.6692618028322855,-0.029404863834381123
subject_13_task_5_6,13,5_6,高,4.6,0.4285714285714285,141,4.6,5.295136451721191,0.46199999999999997,0.4411459064483642,-0.020854093551635755
subject_14_task_3,14,3,低,1.3333333333333333,1.0,46,1.3333333333333333,2.9117661714553833,0.96,0.9126470148563385,-0.047352985143661486
subject_14_task_5,14,5,低,3.466666666666667,0.3333333333333333,220,3.466666666666667,3.940277099609375,0.42933333333333334,0.41512502034505205,-0.01420831298828129
subject_14_task_5_6,14,5_6,高,4.733333333333333,0.1428571428571428,136,4.733333333333333,4.094756126403809,0.25799999999999995,0.2771573162078857,0.019157316207885744
subject_15_task_3,15,3,低,2.2666666666666666,1.0,70,2.2666666666666666,4.16455602645874,0.9319999999999999,0.8750633192062378,-0.05693668079376213
subject_15_task_5,15,5,低,2.6,0.3333333333333333,100,2.6,4.50656533241272,0.45533333333333337,0.39813637336095176,-0.05719695997238161
subject_15_task_5_6,15,5_6,高,7.333333333333333,0.2857142857142857,75,7.333333333333333,5.86208438873291,0.28,0.3241374683380127,0.044137468338012686
subject_16_task_3,16,3,低,4.666666666666667,1.0,67,4.666666666666667,4.916308403015137,0.86,0.8525107479095458,-0.007489252090454146
subject_16_task_5,16,5,低,3.6,0.3333333333333333,17,3.6,5.527899742126465,0.42533333333333334,0.3674963410695394,-0.05783699226379396
