sample_id,label,subject,task,difficulty,n_windows,step,nasa_true,nasa_eval,nasa_trend,S_true,S_eval,S_trend,dS_eval,dS_trend,status
subject_05_task_1,被试 5 · 任务 1,5,1,中,278,0.9375,4.066666666666666,4.502242088317871,5.010000228881836,0.83425,0.8211827373504639,0.805949993133545,-0.013067262649536171,-0.028300006866455063,正常
subject_20_task_4,被试 20 · 任务 4,20,4,中,298,0.1666666666666666,5.666666666666667,5.390290260314941,4.986644744873047,0.24666666666666665,0.2549579588572184,0.2670673243204752,0.008291292190551747,0.02040065765380855,预警
subject_17_task_4,被试 17 · 任务 4,17,4,中,162,1.0,4.266666666666667,4.722774028778076,5.033838272094727,0.872,0.8583167791366577,0.8489848518371582,-0.013683220863342282,-0.02301514816284178,正常
subject_15_task_5,被试 15 · 任务 5,15,5,低,100,0.3333333333333333,2.6,4.931369304656982,5.858260631561279,0.45533333333333337,0.3853922541936239,0.3575855143864949,-0.06994107913970948,-0.09774781894683848,预警
subject_12_task_5_6,被试 12 · 任务 5_6,12,5_6,高,132,0.6,7.666666666666667,6.36887788772583,6.159512996673584,0.49,0.5289336633682251,0.5352146100997925,0.038933663368225124,0.04521461009979255,正常
subject_02_task_5_6,被试 2 · 任务 5_6,2,5_6,高,131,0.8,6.6,5.509175777435303,5.464014053344727,0.6619999999999999,0.694724726676941,0.6960795783996582,0.03272472667694104,0.03407957839965825,正常
subject_05_task_4,被试 5 · 任务 4,5,4,中,207,0.0833333333333333,5.733333333333333,5.164742946624756,5.4647603034973145,0.1863333333333333,0.20339104493459065,0.1943905242284139,0.017057711601257353,0.008057190895080613,预警
subject_06_task_2,被试 6 · 任务 2,6,2,中,416,0.65,5.666666666666667,5.69368314743042,6.785302639007568,0.585,0.5841895055770874,0.5514409208297729,-0.0008104944229125888,-0.033559079170227046,正常
subject_12_task_2,被试 12 · 任务 2,12,2,中,413,0.95,5.333333333333333,6.1604132652282715,6.0327558517456055,0.8049999999999999,0.7801876020431517,0.7840173244476317,-0.024812397956848198,-0.020982675552368213,正常
subject_26_task_5_6,被试 26 · 任务 5_6,26,5_6,高,391,0.1428571428571428,6.466666666666667,6.41093111038208,6.673403263092041,0.20599999999999996,0.20767206668853758,0.1997979021072387,0.0016720666885376156,-0.006202097892761271,预警
subject_16_task_3,被试 16 · 任务 3,16,3,低,67,1.0,4.666666666666667,3.5412251949310303,3.966134548187256,0.86,0.8937632441520691,0.8810159635543823,0.033763244152069105,0.02101596355438229,正常
subject_15_task_5_6,被试 15 · 任务 5_6,15,5_6,高,75,0.2857142857142857,7.333333333333333,5.603377819061279,6.211773872375488,0.28,0.3318986654281616,0.3136467838287353,0.05189866542816157,0.03364678382873526,预警
subject_07_task_3,被试 7 · 任务 3,7,3,低,79,0.5,4.066666666666666,3.7472455501556396,4.235784530639648,0.528,0.5375826334953309,0.5229264640808106,0.009582633495330839,-0.005073535919189465,正常
subject_04_task_5_6,被试 4 · 任务 5_6,4,5_6,高,83,0.2,6.866666666666666,5.412931442260742,5.188693523406982,0.23399999999999999,0.2776120567321777,0.2843391942977905,0.04361205673217772,0.05033919429779049,预警
subject_10_task_2,被试 10 · 任务 2,10,2,中,367,0.9,4.4,5.234908580780029,5.901455402374268,0.798,0.7729527425765992,0.752956337928772,-0.02504725742340086,-0.04504366207122801,正常
